Date,MinTemp,MaxTemp,Precipitation,ReferenceET
1/1/06,-2,13.3,0,1.6316
1/2/06,-0.7,23.4,0,2.2319
1/3/06,-4.4,11.8,0,4.3929
1/4/06,-5.3,10.6,0,1.8315
1/5/06,-7.5,20.5,0,2.5313
1/6/06,-3,23.5,0,2.8944
1/7/06,0.6,15.4,0,4.1414
1/8/06,-6.9,4,0,3.4762
1/9/06,-9.9,9.3,0,1.0013
1/10/06,-2.9,17,0,1.5901
1/11/06,-4.7,10.1,0,3.0748
1/12/06,-4.1,10.8,0,2.6886
1/13/06,-5.6,17.3,0,2.2008
1/14/06,-1.4,20.9,0,3.4495
1/15/06,-4.7,7.7,0,3.9627
1/16/06,-9.5,9.1,0,2.337
1/17/06,-4.4,17,0,2.0257
1/18/06,-3.1,9.2,0,2.9419
1/19/06,-3.4,5.2,0,2.3134
1/20/06,-9.1,9.1,0,1.1226
1/21/06,-10,8.4,0,1.8953
1/22/06,-10,10.2,0,1.4352
1/23/06,-5.3,15.9,0,1.7102
1/24/06,-6.8,16.5,0,2.3429
1/25/06,4.4,15.2,0,2.9146
1/26/06,-5.8,15,0,3.8892
1/27/06,-4.2,10.9,0,2.34
1/28/06,-6.9,11.8,0,2.0934
1/29/06,-6,11.1,0,2.8443
1/30/06,-4.7,21.7,0,2.541
1/31/06,-7.1,12.5,0,3.5805
2/1/06,-5.1,11.9,0,2.5362
2/2/06,-8.6,11.8,0,2.7811
2/3/06,-7.9,9.8,0,2.3879
2/4/06,-6.1,9.7,0,2.2731
2/5/06,-7.9,9.3,0,2.4958
2/6/06,-8.7,12.2,0,1.8589
2/7/06,-6.3,8.6,0,2.1937
2/8/06,-9.6,18.3,0,2.2473
2/9/06,-9.3,4,0,3.4227
2/10/06,-11.8,1.8,0,2.3462
2/11/06,-8.3,7.9,0,2.0747
2/12/06,-7.7,17.2,0,2.5746
2/13/06,-7.4,20,0,3.1409
2/14/06,-5.6,7.9,0,3.4967
2/15/06,-13.8,-0.9,0,2.3371
2/16/06,-17.8,-10.6,0,1.3379
2/17/06,-18.9,-10.4,0,0.9668
2/18/06,-12.7,-0.2,0,0.7912
2/19/06,-14.8,8.5,0,1.1511
2/20/06,-13.4,13,0,1.6342
2/21/06,-11.7,10.4,0,2.1628
2/22/06,-9.7,14.2,0,2.2917
2/23/06,-7.7,19.5,0,3.3293
2/24/06,-6.6,6,0,3.6465
2/25/06,-9,17.1,0,2.5417
2/26/06,1.4,24.1,0,3.2483
2/27/06,1.4,27.7,0,4.6783
2/28/06,1.2,20.8,0,5.8591
3/1/06,0.2,14.8,0,5.3361
3/2/06,-2.2,14.5,0,2.3322
3/3/06,4,21,0,3.6506
3/4/06,3.2,19,0,5.2068
3/5/06,-0.9,25.6,0,3.8462
3/6/06,7.2,25.5,0,4.7914
3/7/06,-1.5,16.5,0,5.532
3/8/06,1.2,12,0,3.7189
3/9/06,-1.4,20.3,0,2.752
3/10/06,-3.3,16.3,0,4.0503
3/11/06,-0.8,19.3,0,3.7043
3/12/06,-4.6,8.1,0,5.2665
3/13/06,-6.7,13.2,0,2.5219
3/14/06,2.9,22.2,0,3.1005
3/15/06,0.7,14.6,0,6.4918
3/16/06,-3,9.5,0,3.901
3/17/06,1.9,5,0,2.7197
3/18/06,1.7,4.9,0,2.0828
3/19/06,-5.1,2,0,1.4701
3/20/06,-11.5,-2.2,0,0.9967
3/21/06,-5.5,-2.3,0,1.5184
3/22/06,-6.1,-0.2,0,0.9539
3/23/06,-10.1,3.6,0,1.7581
3/24/06,-4.8,9.9,0,2.4185
3/25/06,1.2,22.3,0,2.8403
3/26/06,-0.2,15.5,0,4.9743
3/27/06,-0.4,21.2,0,4.1011
3/28/06,8.4,25.7,0,4.0275
3/29/06,7.066666666666667,25.7,0,5.9759
